ANNOSCOLASTICO,PROVINCIA,TIPOSUPPLENZA,FASCIAETA,ATASUPPLENTIMASCHI,ATASUPPLENTIFEMMINE
201617,LATINA,FINO AL TERMINE,TRA 45 E 54,25,57
201617,PISTOIA,ANNUALE,OLTRE 54,1,2
201617,CASERTA,ANNUALE,TRA 35 E 44,1,2
201617,ALESSANDRIA,ANNUALE,OLTRE 54,1,5
201617,CASERTA,FINO AL TERMINE,TRA 45 E 54,66,104
201617,MONZA E BRIANZA,ANNUALE,FINO A 34,3,0
201617,BRESCIA,FINO AL TERMINE,TRA 45 E 54,35,122
201617,CATANIA,FINO AL TERMINE,OLTRE 54,14,44
201617,PALERMO,ANNUALE,OLTRE 54,32,6
201617,LA SPEZIA,FINO AL TERMINE,TRA 45 E 54,5,29
201617,TREVISO,ANNUALE,TRA 35 E 44,6,7
201617,BARI,ANNUALE,TRA 45 E 54,4,16
201617,CAGLIARI,ANNUALE,FINO A 34,1,1
201617,MODENA,FINO AL TERMINE,FINO A 34,47,68
201617,VARESE,FINO AL TERMINE,OLTRE 54,10,14
201617,MILANO,FINO AL TERMINE,TRA 35 E 44,92,110
201617,MASSA,FINO AL TERMINE,FINO A 34,2,1
201617,MODENA,ANNUALE,TRA 35 E 44,2,4
201617,UDINE,FINO AL TERMINE,TRA 35 E 44,12,42
201617,TRIESTE,ANNUALE,TRA 45 E 54,0,4
201617,AVELLINO,FINO AL TERMINE,TRA 45 E 54,17,48
201617,CROTONE,FINO AL TERMINE,TRA 35 E 44,3,4
201617,BERGAMO,ANNUALE,OLTRE 54,3,11
201617,POTENZA,ANNUALE,FINO A 34,1,0
201617,PADOVA,ANNUALE,TRA 35 E 44,6,7
201617,PISA,FINO AL TERMINE,FINO A 34,8,13
201617,VENEZIA,ANNUALE,TRA 45 E 54,9,7
201617,LUCCA,ANNUALE,TRA 35 E 44,0,1
201617,LECCO,ANNUALE,FINO A 34,2,3
201617,NUORO,ANNUALE,TRA 45 E 54,0,4
201617,CUNEO,FINO AL TERMINE,OLTRE 54,8,40
201617,BRINDISI,ANNUALE,TRA 45 E 54,3,6
201617,L'AQUILA,ANNUALE,OLTRE 54,1,12
201617,LA SPEZIA,ANNUALE,TRA 45 E 54,2,6
201617,LIVORNO,FINO AL TERMINE,OLTRE 54,2,21
201617,TREVISO,ANNUALE,FINO A 34,4,2
201617,FOGGIA,ANNUALE,OLTRE 54,3,3
201617,REGGIO EMILIA,ANNUALE,TRA 45 E 54,2,10
201617,VARESE,FINO AL TERMINE,TRA 45 E 54,13,36
201617,MANTOVA,ANNUALE,FINO A 34,1,0
201617,ALESSANDRIA,ANNUALE,FINO A 34,4,3
201617,SASSARI,FINO AL TERMINE,TRA 45 E 54,9,43
201617,ENNA,FINO AL TERMINE,TRA 35 E 44,1,1
201617,MESSINA,ANNUALE,TRA 45 E 54,6,12
201617,FORLI'-CESENA,FINO AL TERMINE,FINO A 34,37,55
201617,PERUGIA,FINO AL TERMINE,FINO A 34,5,10
201617,MONZA E BRIANZA,ANNUALE,OLTRE 54,1,0
201617,BENEVENTO,ANNUALE,TRA 45 E 54,5,2
